POS Tag: RBI_CCP
Word: ding | Lemma: din | a56_224_tags.txt | SN:31 | TN:25
Word: pang | Lemma: pa | a56_251_tags.txt | SN:26 | TN:1
Word: pang | Lemma: pa | a56_193to197_tags.txt | SN:66 | TN:4
Word: pang | Lemma: pa | a56_193to197_tags.txt | SN:106 | TN:1
Word: pang | Lemma: pa | a56_248_tags.txt | SN:10 | TN:1
Word: pang | Lemma: pa | a56_253to258_tags.txt | SN:86 | TN:8
Word: pang | Lemma: pa | lopez_clement_s11_tags.txt | SN:41 | TN:40
Word: pang | Lemma: pa | a56_238to240_tags.txt | SN:24 | TN:21
Word: pang | Lemma: pang | a56_251_tags.txt | SN:21 | TN:1
Word: pang | Lemma: pa | a56_253to258_tags.txt | SN:26 | TN:14
Word: pang | Lemma: pa | a56_198_tags.txt | SN:39 | TN:32
Word: pang | Lemma: pa | a56_212_tags.txt | SN:13 | TN:1
Word: pang | Lemma: pa | a56_212_tags.txt | SN:21 | TN:9
Word: pang | Lemma: pa | a56_200_tags.txt | SN:16 | TN:2
Word: pang | Lemma: pa | a56_213_tags.txt | SN:43 | TN:4
Word: pang | Lemma: pa | a56_223_tags.txt | SN:21 | TN:15
Word: pang | Lemma: pa | a56_224_tags.txt | SN:28 | TN:11
Word: pang | Lemma: pa | a56_247_tags.txt | SN:31 | TN:2
Word: pang | Lemma: pa | a56_261_tags.txt | SN:15 | TN:36
Word: pang | Lemma: pa | a56_200_tags.txt | SN:33 | TN:5
Word: pang | Lemma: pa | a56_253to258_tags.txt | SN:54 | TN:7
Word: pang | Lemma: pa | a56_259_tags.txt | SN:22 | TN:23
Word: pang | Lemma: pa | a56_214_tags.txt | SN:14 | TN:1
Word: pang | Lemma: pa | a56_253to258_tags.txt | SN:13 | TN:21
Word: ring | Lemma: rin | a56_181to186_tags.txt | SN:25 | TN:1
Word: ring | Lemma: rin | lopez_clement_s11_tags.txt | SN:44 | TN:3
