POS Tag: RBB
Word: Dahil_sa | Lemma: Dahil_sa | a56_253to258_tags.txt | SN:158 | TN:0
Word: para_sa | Lemma: para_sa | a56_238to240_tags.txt | SN:69 | TN:30
Word: para_sa | Lemma: para_sa | a56_193to197_tags.txt | SN:48 | TN:3
Word: para_sa | Lemma: para_sa | a56_238to240_tags.txt | SN:26 | TN:10
Word: para_sa | Lemma: para_sa | a56_261_tags.txt | SN:14 | TN:13
Word: para_sa | Lemma: para_sa | a56_253to258_tags.txt | SN:138 | TN:15
Word: para_sa | Lemma: para_sa | a56_253to258_tags.txt | SN:153 | TN:23
Word: para_sa | Lemma: para_sa | lopez_clement_s11_tags.txt | SN:76 | TN:8
Word: para_sa | Lemma: para_sa | a56_235to237_tags.txt | SN:25 | TN:20
Word: para_sa | Lemma: para_sa | a56_261_tags.txt | SN:17 | TN:7
Word: para_sa | Lemma: para_sa | a56_247_tags.txt | SN:22 | TN:26
Word: para_sa | Lemma: para_sa | a56_252_tags.txt | SN:23 | TN:11
Word: para_sa | Lemma: para_sa | a56_250_tags.txt | SN:6 | TN:27
Word: para_sa | Lemma: para_sa | a56_204_tags.txt | SN:12 | TN:6
Word: para_sa | Lemma: para_sa | a56_181to186_tags.txt | SN:115 | TN:1
Word: para_sa | Lemma: para_sa | a56_193to197_tags.txt | SN:112 | TN:15
Word: para_sa | Lemma: para_sa | a56_198_tags.txt | SN:32 | TN:20
Word: para_sa | Lemma: para_sa | a56_224_tags.txt | SN:3 | TN:3
Word: para_sa | Lemma: para_sa | a56_248_tags.txt | SN:17 | TN:36
Word: para_sa | Lemma: para_sa | a56_200_tags.txt | SN:8 | TN:7
Word: para_sa | Lemma: para_sa | a56_193to197_tags.txt | SN:57 | TN:11
Word: para_sa | Lemma: para_sa | a56_252_tags.txt | SN:8 | TN:2
Word: para_sa | Lemma: para_sa | a56_235to237_tags.txt | SN:21 | TN:33
Word: para_sa | Lemma: para_sa | a56_248_tags.txt | SN:14 | TN:10
Word: para_sa | Lemma: para_sa | a56_248_tags.txt | SN:18 | TN:14
Word: para_sa | Lemma: para_sa | a56_263_tags.txt | SN:23 | TN:2
Word: para_sa | Lemma: para_sa | a56_214_tags.txt | SN:3 | TN:36
Word: para_sa | Lemma: para_sa | lopez_clement_s11_tags.txt | SN:45 | TN:22
Word: para_sa | Lemma: para_sa | lopez_clement_s11_tags.txt | SN:32 | TN:27
Word: para_sa | Lemma: para_sa | a56_235to237_tags.txt | SN:18 | TN:8
Word: para_sa | Lemma: para_sa | a56_251_tags.txt | SN:30 | TN:3
Word: para_sa | Lemma: para_sa | a56_253to258_tags.txt | SN:152 | TN:3
Word: para_sa | Lemma: para_sa | a56_223_tags.txt | SN:2 | TN:24
Word: para_sa | Lemma: para_sa | a56_211_tags.txt | SN:7 | TN:25
Word: para_sa | Lemma: para_sa | cua_bernice_s11_tags.txt | SN:53 | TN:12
Word: para_sa | Lemma: para_sa | a56_227_tags.txt | SN:27 | TN:15
Word: para_sa | Lemma: para_sa | a56_252_tags.txt | SN:18 | TN:14
Word: para_sa | Lemma: para_sa | a56_253to258_tags.txt | SN:80 | TN:11
Word: para_sa | Lemma: para_sa | a56_253to258_tags.txt | SN:158 | TN:12
Word: para_sa | Lemma: para_sa | a56_253to258_tags.txt | SN:141 | TN:6
Word: para_sa | Lemma: para_sa | a56_252_tags.txt | SN:24 | TN:10
Word: para_sa | Lemma: para_sa | lopez_clement_s11_tags.txt | SN:42 | TN:13
Word: para_sa | Lemma: para_sa | lopez_clement_s11_tags.txt | SN:42 | TN:30
Word: para_sa | Lemma: para_sa | a56_211_tags.txt | SN:37 | TN:39
Word: para_sa | Lemma: para_sa | a56_193to197_tags.txt | SN:30 | TN:13
Word: para_sa | Lemma: para_sa | a56_181to186_tags.txt | SN:121 | TN:21
Word: para_sa | Lemma: para_sa | a56_181to186_tags.txt | SN:129 | TN:17
Word: para_sa | Lemma: para_sa | a56_261_tags.txt | SN:18 | TN:17
Word: para_sa | Lemma: para_sa | cua_bernice_s11_tags.txt | SN:80 | TN:6
Word: para_sa | Lemma: para_sa | a56_253to258_tags.txt | SN:55 | TN:9
Word: para_sa | Lemma: para_sa | a56_225_tags.txt | SN:2 | TN:13
Word: para_sa | Lemma: para_sa | a56_226_tags.txt | SN:28 | TN:11
Word: para_sa | Lemma: para_sa | a56_252_tags.txt | SN:21 | TN:9
Word: para_sa | Lemma: para_sa | a56_261_tags.txt | SN:18 | TN:13
Word: para_sa | Lemma: para_sa | a56_226_tags.txt | SN:6 | TN:26
Word: para_sa | Lemma: para_sa | a56_253to258_tags.txt | SN:132 | TN:32
Word: para_sa | Lemma: para_sa | lopez_clement_s11_tags.txt | SN:9 | TN:8
Word: para_sa | Lemma: para_sa | a56_225_tags.txt | SN:28 | TN:5
Word: para_sa | Lemma: para_sa | a56_181to186_tags.txt | SN:129 | TN:29
Word: para_sa | Lemma: para_sa | a56_212_tags.txt | SN:25 | TN:15
Word: para_sa | Lemma: para_sa | a56_227_tags.txt | SN:4 | TN:104
Word: para_sa | Lemma: para_sa | a56_252_tags.txt | SN:12 | TN:12
Word: para_sa | Lemma: para_sa | lopez_clement_s11_tags.txt | SN:31 | TN:6
Word: para_sa | Lemma: para_sa | a56_264_tags.txt | SN:17 | TN:4
Word: para_sa | Lemma: para_sa | a56_213_tags.txt | SN:29 | TN:31
Word: para_sa | Lemma: para_sa | a56_227_tags.txt | SN:19 | TN:8
Word: para_sa | Lemma: para_sa | a56_252_tags.txt | SN:20 | TN:22
Word: para_sa | Lemma: para_sa | lopez_clement_s11_tags.txt | SN:38 | TN:26
Word: para_sa | Lemma: para_sa | lopez_clement_s11_tags.txt | SN:54 | TN:13
Word: para_sa | Lemma: para_sa | a56_253to258_tags.txt | SN:157 | TN:6
Word: para_sa | Lemma: para_sa | a56_260_tags.txt | SN:3 | TN:37
Word: para_sa | Lemma: para_sa | a56_198_tags.txt | SN:32 | TN:35
Word: para_sa | Lemma: para_sa | a56_249_tags.txt | SN:17 | TN:15
Word: para_sa | Lemma: para_sa | a56_226_tags.txt | SN:29 | TN:5
Word: para_sa | Lemma: para_sa | a56_228_tags.txt | SN:18 | TN:41
Word: para_sa | Lemma: para_sa | a56_193to197_tags.txt | SN:14 | TN:33
Word: para_sa | Lemma: para_sa | a56_223_tags.txt | SN:17 | TN:3
Word: para_sa | Lemma: para_sa | a56_228_tags.txt | SN:17 | TN:18
Word: para_sa | Lemma: para_sa | lopez_clement_s11_tags.txt | SN:32 | TN:20
Word: para_sa | Lemma: para_sa | a56_261_tags.txt | SN:14 | TN:7
Word: para_sa | Lemma: para_sa | a56_253to258_tags.txt | SN:90 | TN:22
Word: para_sa | Lemma: para_sa | a56_214_tags.txt | SN:12 | TN:10
Word: para_sa | Lemma: para_sa | a56_251_tags.txt | SN:23 | TN:5
Word: para_sa | Lemma: para_sa | cua_bernice_s11_tags.txt | SN:82 | TN:8
Word: para_sa | Lemma: para_sa | a56_249_tags.txt | SN:17 | TN:21
Word: para_sa | Lemma: para_sa | a56_252_tags.txt | SN:19 | TN:30
Word: para_sa | Lemma: para_sa | a56_223_tags.txt | SN:19 | TN:8
Word: para_sa | Lemma: para_sa | a56_235to237_tags.txt | SN:19 | TN:7
Word: para_sa | Lemma: para_sa | a56_238to240_tags.txt | SN:65 | TN:3
Word: para_sa | Lemma: para_sa | a56_260_tags.txt | SN:16 | TN:4
Word: para_sa | Lemma: para_sa | a56_228_tags.txt | SN:20 | TN:43
Word: para_sa | Lemma: para_sa | a56_238to240_tags.txt | SN:51 | TN:17
Word: para_sa | Lemma: para_sa | a56_247_tags.txt | SN:11 | TN:15
Word: para_sa | Lemma: para_sa | a56_248_tags.txt | SN:17 | TN:23
Word: para_sa | Lemma: para_sa | lopez_clement_s11_tags.txt | SN:6 | TN:60
Word: para_sa | Lemma: para_sa | a56_238to240_tags.txt | SN:67 | TN:19
Word: para_sa | Lemma: para_sa | a56_264_tags.txt | SN:20 | TN:10
Word: para_sa | Lemma: para_sa | lopez_clement_s11_tags.txt | SN:63 | TN:11
Word: para_sa | Lemma: para_sa | a56_251_tags.txt | SN:21 | TN:3
Word: para_sa | Lemma: para_sa | a56_253to258_tags.txt | SN:157 | TN:1
Word: para_sa | Lemma: para_sa | cua_bernice_s11_tags.txt | SN:42 | TN:10
Word: para_sa | Lemma: para_sa | a56_260_tags.txt | SN:12 | TN:5
Word: para_sa | Lemma: para_sa | a56_261_tags.txt | SN:18 | TN:32
Word: para_sa | Lemma: para_sa | a56_261_tags.txt | SN:19 | TN:28
Word: para_sa | Lemma: para_sa | a56_238to240_tags.txt | SN:40 | TN:17
Word: para_sa | Lemma: para_sa | a56_253to258_tags.txt | SN:40 | TN:24
Word: para_sa | Lemma: para_sa | a56_238to240_tags.txt | SN:60 | TN:6
Word: para_sa | Lemma: para_sa | lopez_clement_s11_tags.txt | SN:62 | TN:12
Word: para_sa | Lemma: para_sa | a56_228_tags.txt | SN:19 | TN:18
Word: para_sa | Lemma: para_sa | a56_211_tags.txt | SN:37 | TN:20
