POS Tag: CCR
Word: Dagdag | Lemma: Dagdag | a56_253to258_tags.txt | SN:3 | TN:0
Word: kaya | Lemma: kaya | a56_253to258_tags.txt | SN:132 | TN:14
Word: kaya | Lemma: kaya | a56_260_tags.txt | SN:3 | TN:41
Word: kung | Lemma: kung | a56_181to186_tags.txt | SN:96 | TN:37
Word: kung | Lemma: kung | a56_181to186_tags.txt | SN:9 | TN:12
Word: kung | Lemma: kung | a56_259_tags.txt | SN:11 | TN:21
Word: kung | Lemma: kung | a56_253to258_tags.txt | SN:118 | TN:27
Word: kung | Lemma: kung | a56_193to197_tags.txt | SN:59 | TN:27
Word: kung | Lemma: kung | a56_253to258_tags.txt | SN:94 | TN:25
Word: kung | Lemma: kung | a56_253to258_tags.txt | SN:90 | TN:26
Word: kung | Lemma: kung | lopez_clement_s11_tags.txt | SN:25 | TN:2
Word: kung | Lemma: kung | a56_253to258_tags.txt | SN:112 | TN:37
Word: kung | Lemma: kung | a56_261_tags.txt | SN:12 | TN:9
Word: kung | Lemma: kung | a56_200_tags.txt | SN:39 | TN:9
Word: kung | Lemma: kung | a56_253to258_tags.txt | SN:112 | TN:14
Word: kung | Lemma: kung | lopez_clement_s11_tags.txt | SN:17 | TN:6
Word: kung | Lemma: kung | a56_204_tags.txt | SN:5 | TN:18
Word: kung | Lemma: kung | a56_213_tags.txt | SN:4 | TN:31
Word: kung | Lemma: kung | a56_259_tags.txt | SN:21 | TN:11
Word: kung | Lemma: kung | a56_253to258_tags.txt | SN:144 | TN:7
Word: kung | Lemma: kung | a56_259_tags.txt | SN:2 | TN:22
Word: kung | Lemma: kung | a56_259_tags.txt | SN:25 | TN:28
Word: kung | Lemma: kung | a56_213_tags.txt | SN:6 | TN:2
Word: kung | Lemma: kung | a56_228_tags.txt | SN:14 | TN:26
Word: kung | Lemma: kung | a56_253to258_tags.txt | SN:164 | TN:17
Word: kung | Lemma: kung | a56_259_tags.txt | SN:20 | TN:47
Word: kung | Lemma: kung | a56_259_tags.txt | SN:21 | TN:24
Word: kung_saan | Lemma: kung_saan | a56_263_tags.txt | SN:21 | TN:19
Word: kung_saan | Lemma: kung_saan | a56_263_tags.txt | SN:22 | TN:9
Word: kung_saan | Lemma: kung_saan | a56_264_tags.txt | SN:16 | TN:16
Word: kung_saan | Lemma: kung_saan | a56_264_tags.txt | SN:21 | TN:28
Word: kung_saan | Lemma: kung_saan | a56_264_tags.txt | SN:26 | TN:13
Word: kung_saan | Lemma: kung_saan | a56_264_tags.txt | SN:26 | TN:26
Word: kung_saan | Lemma: kung_saan | cua_bernice_s11_tags.txt | SN:54 | TN:9
Word: kung_saan | Lemma: kung_saan | cua_bernice_s11_tags.txt | SN:55 | TN:8
Word: pangangaso | Lemma: pangangaso | cua_bernice_s11_tags.txt | SN:103 | TN:10
Word: para | Lemma: para | a56_181to186_tags.txt | SN:98 | TN:4
Word: para | Lemma: para | a56_198_tags.txt | SN:1 | TN:15
Word: para | Lemma: para | a56_200_tags.txt | SN:6 | TN:7
Word: para | Lemma: para | a56_235to237_tags.txt | SN:20 | TN:41
Word: para | Lemma: para | a56_235to237_tags.txt | SN:33 | TN:9
Word: para | Lemma: para | a56_235to237_tags.txt | SN:34 | TN:10
Word: para | Lemma: para | a56_253to258_tags.txt | SN:80 | TN:14
Word: para_sa | Lemma: para_sa | cua_bernice_s11_tags.txt | SN:84 | TN:5
Word: sa_gayon | Lemma: sa_gayon | a56_263_tags.txt | SN:25 | TN:32
Word: sakali | Lemma: sakali | a56_259_tags.txt | SN:20 | TN:48
Word: sakali | Lemma: sakali | a56_259_tags.txt | SN:21 | TN:25
Word: sapagkat | Lemma: sapagkat | a56_193to197_tags.txt | SN:5 | TN:7
Word: sapagkat | Lemma: sapagkat | a56_204_tags.txt | SN:12 | TN:8
Word: sapagkat | Lemma: sapagkat | a56_223_tags.txt | SN:23 | TN:14
Word: sapagkat | Lemma: sapagkat | a56_228_tags.txt | SN:5 | TN:9
Word: sapagkat | Lemma: sapagkat | a56_228_tags.txt | SN:6 | TN:14
Word: sapagkat | Lemma: sapagkat | a56_228_tags.txt | SN:15 | TN:13
