POS Tag: VBS
Word: Dapat | Lemma: Dapat | a56_181to186_tags.txt | SN:78 | TN:0
Word: gawa | Lemma: gawa | a56_238to240_tags.txt | SN:39 | TN:12
Word: gawa | Lemma: gawa | a56_250_tags.txt | SN:9 | TN:14
Word: gawin | Lemma: gawa | a56_224_tags.txt | SN:29 | TN:11
Word: ibig | Lemma: ibig | a56_181to186_tags.txt | SN:109 | TN:10
Word: ibig | Lemma: ibig | a56_198_tags.txt | SN:30 | TN:1
Word: kailangan | Lemma: kailangan | a56_181to186_tags.txt | SN:144 | TN:19
Word: kailangan | Lemma: kailangan | a56_193to197_tags.txt | SN:30 | TN:6
Word: kailangan | Lemma: kailangan | a56_238to240_tags.txt | SN:4 | TN:16
Word: kailangan | Lemma: kailangan | a56_249_tags.txt | SN:16 | TN:19
Word: kailangan | Lemma: kailangan | a56_253to258_tags.txt | SN:71 | TN:19
Word: maaari | Lemma: maaari | a56_181to186_tags.txt | SN:87 | TN:54
Word: maaari | Lemma: maaari | a56_181to186_tags.txt | SN:142 | TN:41
Word: maaari | Lemma: maaari | a56_181to186_tags.txt | SN:144 | TN:6
Word: maaari | Lemma: maaari | a56_193to197_tags.txt | SN:58 | TN:34
Word: maaari | Lemma: maaari | a56_223_tags.txt | SN:16 | TN:11
Word: maari | Lemma: maari | a56_200_tags.txt | SN:29 | TN:11
Word: maari | Lemma: maari | a56_213_tags.txt | SN:4 | TN:32
Word: maari | Lemma: maari | a56_213_tags.txt | SN:6 | TN:22
Word: maari | Lemma: maari | a56_213_tags.txt | SN:6 | TN:29
Word: maari | Lemma: maari | a56_213_tags.txt | SN:31 | TN:8
Word: maari | Lemma: ari | a56_260_tags.txt | SN:8 | TN:1
Word: maaring | Lemma: maari | a56_249_tags.txt | SN:22 | TN:26
Word: maaring | Lemma: maari | a56_259_tags.txt | SN:3 | TN:5
Word: nais | Lemma: nais | a56_224_tags.txt | SN:29 | TN:7
Word: nais | Lemma: nais | a56_226_tags.txt | SN:25 | TN:12
Word: nais | Lemma: nais | a56_253to258_tags.txt | SN:164 | TN:9
Word: pwede | Lemma: pwede | a56_259_tags.txt | SN:26 | TN:18
Word: pwede | Lemma: pwede | a56_260_tags.txt | SN:12 | TN:22
Word: pwede | Lemma: pwede | lopez_clement_s11_tags.txt | SN:1 | TN:20
Word: pwede | Lemma: pwede | lopez_clement_s11_tags.txt | SN:2 | TN:6
Word: pwedeng | Lemma: pwede | a56_248_tags.txt | SN:30 | TN:20
Word: pwedeng | Lemma: pwede | a56_259_tags.txt | SN:26 | TN:1
Word: sana | Lemma: sana | a56_253to258_tags.txt | SN:102 | TN:22
